date,open,high,low,close,volume,Ticket
1977-09-12,1.1255,1.1255,1.1087,1.1087,3275996,pep
1977-09-13,1.1087,1.1087,1.1008,1.1008,1634710,pep
1977-09-14,1.1008,1.1087,1.0924,1.1087,1750850,pep
1977-09-15,1.1087,1.1172,1.1087,1.1087,2590119,pep
1977-09-16,1.1087,1.1087,1.1008,1.1087,2254852,pep
1977-09-19,1.1087,1.1087,1.1008,1.1087,1080311,pep
1977-09-20,1.1087,1.1087,1.0924,1.1008,1853838,pep
1977-09-21,1.1008,1.1087,1.0845,1.0845,1452832,pep
1977-09-22,1.0845,1.0924,1.0762,1.0762,845846,pep
1977-09-23,1.0762,1.0845,1.0762,1.0845,2747889,pep
1977-09-26,1.0845,1.0924,1.0762,1.0845,1338884,pep
1977-09-27,1.0845,1.0924,1.0762,1.0845,2221977,pep
1977-09-28,1.0845,1.0924,1.0845,1.0845,2441108,pep
1977-09-29,1.0845,1.1087,1.0845,1.0924,3435960,pep
1977-09-30,1.1008,1.1172,1.1008,1.1172,2793905,pep
1977-10-03,1.1172,1.1255,1.1087,1.1255,2417005,pep
1977-10-04,1.1255,1.1417,1.1087,1.1417,4299334,pep
1977-10-05,1.1417,1.1417,1.1334,1.1417,1910813,pep
1977-10-06,1.1417,1.1417,1.1334,1.1417,3260656,pep
1977-10-07,1.1417,1.1499,1.1334,1.1417,1888905,pep
1977-10-10,1.1417,1.1417,1.1255,1.1334,1196449,pep
1977-10-11,1.1334,1.1746,1.1255,1.1255,3293525,pep
1977-10-12,1.1172,1.1172,1.1087,1.1172,2969214,pep
1977-10-13,1.1172,1.1255,1.1087,1.1172,1295059,pep
1977-10-14,1.1172,1.1172,1.0924,1.1008,3188343,pep
1977-10-17,1.1008,1.1008,1.0845,1.1008,3354884,pep
1977-10-18,1.1008,1.1255,1.1008,1.1087,1365180,pep
1977-10-19,1.1087,1.1087,1.1008,1.1087,2548486,pep
1977-10-20,1.1087,1.1087,1.0924,1.1087,1433110,pep
1977-10-21,1.1087,1.1087,1.1008,1.1087,2377562,pep
1977-10-24,1.1087,1.1087,1.1087,1.1087,986083,pep
1977-10-25,1.1087,1.1087,1.1087,1.1087,1560209,pep
1977-10-26,1.1087,1.1255,1.1087,1.1087,2324969,pep
1977-10-27,1.1087,1.1172,1.1008,1.1087,4660902,pep
1977-10-28,1.1087,1.1172,1.1087,1.1087,1084694,pep
1977-10-31,1.1087,1.1087,1.0924,1.1087,1441879,pep
1977-11-01,1.1008,1.1008,1.0924,1.0924,887480,pep
1977-11-02,1.0845,1.0845,1.0597,1.0675,1367372,pep
1977-11-03,1.0675,1.0762,1.0675,1.0762,1847267,pep
1977-11-04,1.0762,1.0762,1.0268,1.0762,2432345,pep
1977-11-07,1.0762,1.0924,1.0762,1.0762,3227788,pep
1977-11-08,1.0762,1.0845,1.0597,1.0675,5107927,pep
1977-11-09,1.0675,1.0762,1.0597,1.0762,4301524,pep
1977-11-10,1.0924,1.1255,1.0924,1.1172,6628688,pep
1977-11-11,1.1255,1.1662,1.1255,1.1584,9139921,pep
1977-11-14,1.1584,1.1746,1.1584,1.1662,5362112,pep
1977-11-15,1.1746,1.1909,1.1746,1.1831,7518355,pep
1977-11-16,1.1831,1.1831,1.1584,1.1662,7266353,pep
1977-11-17,1.1662,1.1662,1.1584,1.1584,2495893,pep
1977-11-18,1.1584,1.1746,1.1584,1.1746,5699577,pep
1977-11-21,1.1746,1.1746,1.1662,1.1662,3343927,pep
1977-11-22,1.1746,1.1909,1.1746,1.1909,4373839,pep
1977-11-23,1.1909,1.2073,1.1909,1.2073,3451298,pep
1977-11-25,1.2157,1.2241,1.2157,1.2241,1801250,pep
1977-11-28,1.2241,1.2241,1.1996,1.2073,5024654,pep
1977-11-29,1.2073,1.2073,1.1584,1.1746,2831164,pep
1977-11-30,1.1746,1.1746,1.1499,1.1584,1726743,pep
1977-12-01,1.1584,1.1662,1.1584,1.1584,2169389,pep
1977-12-02,1.1584,1.1746,1.1584,1.1746,1060589,pep
1977-12-05,1.1746,1.1831,1.1662,1.1831,449216,pep
1977-12-06,1.1746,1.1746,1.1417,1.1417,1906435,pep
1977-12-07,1.1417,1.1584,1.1334,1.1417,1932729,pep
1977-12-08,1.1499,1.1584,1.1499,1.1499,1733320,pep
1977-12-09,1.1499,1.1746,1.1499,1.1746,1693875,pep
1977-12-12,1.1746,1.1746,1.1584,1.1746,2202258,pep
1977-12-13,1.1746,1.1909,1.1417,1.1909,1439685,pep
1977-12-14,1.1909,1.1996,1.1746,1.1909,3911476,pep
1977-12-15,1.1909,1.1996,1.1746,1.1746,1691682,pep
1977-12-16,1.1831,1.1909,1.1831,1.1831,1100034,pep
1977-12-19,1.1831,1.1909,1.1662,1.1831,1956834,pep
1977-12-20,1.1831,1.1909,1.1831,1.1909,3698916,pep
1977-12-21,1.1909,1.1909,1.1746,1.1909,6966146,pep
1977-12-22,1.1909,1.1909,1.1746,1.1909,6269315,pep
1977-12-23,1.1909,1.2073,1.1909,1.1996,3019613,pep
1977-12-27,1.1996,1.2241,1.1909,1.2241,2320587,pep
1977-12-28,1.2241,1.2319,1.2241,1.2241,3026188,pep
1977-12-29,1.2241,1.2569,1.2241,1.2569,3286954,pep
1977-12-30,1.2569,1.2569,1.2319,1.2319,2441108,pep
1978-01-03,1.2319,1.2404,1.2157,1.2157,3376795,pep
1978-01-04,1.2073,1.2073,1.1909,1.1996,2373178,pep
1978-01-05,1.1996,1.2157,1.1746,1.1909,2015999,pep
1978-01-06,1.1831,1.1831,1.1584,1.1662,3427193,pep
1978-01-09,1.1499,1.1499,1.1255,1.1417,4404516,pep
1978-01-10,1.1417,1.1584,1.1334,1.1417,2406048,pep
1978-01-11,1.1417,1.1584,1.1255,1.1255,1474743,pep
1978-01-12,1.1255,1.1417,1.1255,1.1255,1547060,pep
1978-01-13,1.1255,1.1417,1.1255,1.1334,2298675,pep
1978-01-16,1.1334,1.1417,1.1255,1.1334,1292866,pep
1978-01-17,1.1417,1.1584,1.1417,1.1499,4010082,pep
1978-01-18,1.1584,1.1746,1.1584,1.1746,3297907,pep
1978-01-19,1.1746,1.1746,1.1584,1.1584,2754468,pep
1978-01-20,1.1584,1.1584,1.1417,1.1417,1577737,pep
1978-01-23,1.1417,1.1499,1.1334,1.1417,4928234,pep
1978-01-24,1.1417,1.1499,1.1417,1.1499,799826,pep
1978-01-25,1.1499,1.1584,1.1417,1.1584,977317,pep
1978-01-26,1.1584,1.1584,1.1417,1.1417,2498086,pep
1978-01-27,1.1417,1.1417,1.1255,1.1417,2388518,pep
1978-01-30,1.1417,1.1417,1.1255,1.1255,1319163,pep
1978-01-31,1.1255,1.1417,1.1255,1.1334,2627372,pep
1978-02-01,1.1334,1.1417,1.1255,1.1334,3096310,pep
1978-02-02,1.1334,1.1499,1.1334,1.1334,3602498,pep
1978-02-03,1.1334,1.1417,1.1255,1.1417,2169389,pep
1978-02-06,1.1417,1.1417,1.1255,1.1417,541251,pep
1978-02-07,1.1417,1.1417,1.1255,1.1417,8515396,pep
1978-02-08,1.1417,1.1584,1.1417,1.1417,4154705,pep
1978-02-09,1.1417,1.1499,1.1334,1.1499,1275337,pep
1978-02-10,1.1499,1.1499,1.1255,1.1417,2484933,pep
1978-02-13,1.1417,1.1417,1.1008,1.1087,3701108,pep
1978-02-14,1.1087,1.1087,1.0924,1.1087,6486254,pep
1978-02-15,1.1087,1.1172,1.1087,1.1172,1514190,pep
1978-02-16,1.1087,1.1087,1.0924,1.1087,3948724,pep
1978-02-17,1.1087,1.1087,1.0924,1.1008,1593074,pep
1978-02-21,1.1008,1.1008,1.0924,1.0924,1246850,pep
1978-02-22,1.0924,1.0924,1.0762,1.0845,1544867,pep
1978-02-23,1.0845,1.0924,1.0845,1.0845,3517040,pep
1978-02-24,1.0845,1.1008,1.0762,1.1008,3214637,pep
1978-02-27,1.1008,1.1008,1.0924,1.0924,1671961,pep
1978-02-28,1.0924,1.0924,1.0762,1.0845,1608418,pep
1978-03-01,1.0845,1.0924,1.0762,1.0924,2445494,pep
1978-03-02,1.0924,1.1008,1.0845,1.1008,2850883,pep
1978-03-03,1.1008,1.1008,1.0924,1.1008,1470363,pep
1978-03-06,1.0924,1.0924,1.0845,1.0845,911582,pep
1978-03-07,1.0845,1.1008,1.0845,1.1008,2506851,pep
1978-03-08,1.1008,1.1087,1.0924,1.1087,3440342,pep
1978-03-09,1.1087,1.1255,1.1087,1.1172,1514190,pep
1978-03-10,1.1255,1.1417,1.1255,1.1255,4290567,pep
1978-03-13,1.1334,1.1417,1.1334,1.1417,2406048,pep
1978-03-14,1.1417,1.1417,1.1255,1.1334,3205874,pep
1978-03-15,1.1334,1.1417,1.1334,1.1334,3593736,pep
1978-03-16,1.1334,1.1417,1.1255,1.1417,3484167,pep
1978-03-17,1.1417,1.1417,1.1334,1.1417,1836312,pep
1978-03-20,1.1499,1.1746,1.1499,1.1662,3727406,pep
1978-03-21,1.1662,1.1746,1.1584,1.1662,2750082,pep
1978-03-22,1.1662,1.1662,1.1584,1.1584,946642,pep
1978-03-23,1.1584,1.1584,1.1499,1.1584,1078123,pep
1978-03-27,1.1499,1.1499,1.1417,1.1499,1847267,pep
1978-03-28,1.1499,1.1746,1.1417,1.1746,4323436,pep
1978-03-29,1.1746,1.1746,1.1584,1.1584,2075162,pep
1978-03-30,1.1584,1.1584,1.1499,1.1584,1978747,pep
1978-03-31,1.1584,1.1584,1.1417,1.1499,1446261,pep
1978-04-03,1.1499,1.1499,1.1417,1.1499,1016766,pep
1978-04-04,1.1499,1.1499,1.1417,1.1499,1181111,pep
1978-04-05,1.1499,1.1746,1.1499,1.1746,2831164,pep
1978-04-06,1.1746,1.1909,1.1746,1.1909,3569631,pep
1978-04-07,1.1909,1.1909,1.1831,1.1909,2303058,pep
1978-04-10,1.1909,1.1909,1.1831,1.1909,2000659,pep
1978-04-11,1.1909,1.1996,1.1831,1.1996,1915199,pep
1978-04-12,1.1996,1.2073,1.1909,1.2073,3593736,pep
1978-04-13,1.2073,1.2073,1.1996,1.2073,2677771,pep
1978-04-14,1.2073,1.2404,1.1996,1.2319,6904791,pep
1978-04-17,1.2569,1.298,1.2569,1.2729,7446043,pep
1978-04-18,1.2729,1.2816,1.2569,1.2651,4991785,pep
1978-04-19,1.2651,1.2816,1.2569,1.2569,4498739,pep
1978-04-20,1.2569,1.2729,1.2569,1.2651,5103537,pep
1978-04-21,1.2651,1.2651,1.2404,1.2404,2864029,pep
1978-04-24,1.2404,1.2729,1.2404,1.2729,4831820,pep
1978-04-25,1.2816,1.3062,1.2816,1.2897,7426320,pep
1978-04-26,1.2816,1.2816,1.2569,1.2729,8315988,pep
1978-04-27,1.2729,1.2729,1.2569,1.2569,2272377,pep
1978-04-28,1.2569,1.2897,1.2569,1.2897,3685770,pep
1978-05-01,1.2897,1.298,1.2816,1.2897,4152516,pep
1978-05-02,1.2897,1.3226,1.2729,1.3062,6902603,pep
1978-05-03,1.3062,1.3142,1.2816,1.2897,6085240,pep
1978-05-04,1.2897,1.3062,1.2569,1.2897,5605349,pep
1978-05-05,1.2897,1.3389,1.2897,1.3307,4367263,pep
1978-05-08,1.3307,1.3389,1.3142,1.3226,6860968,pep
1978-05-09,1.3226,1.3389,1.3142,1.3389,1102224,pep
1978-05-10,1.3389,1.3389,1.3226,1.3389,1774952,pep
1978-05-11,1.3389,1.3389,1.3226,1.3307,4332204,pep
1978-05-12,1.3389,1.4048,1.3389,1.3964,4163473,pep
1978-05-15,1.3964,1.4212,1.3881,1.4048,3766845,pep
1978-05-16,1.4127,1.4375,1.4127,1.4293,4365070,pep
1978-05-17,1.4293,1.4293,1.4127,1.4212,3988169,pep
1978-05-18,1.4212,1.4212,1.3881,1.4048,2717216,pep
1978-05-19,1.3881,1.3881,1.3554,1.3716,2346883,pep
1978-05-22,1.3716,1.3716,1.3554,1.3716,4360692,pep
1978-05-23,1.3554,1.3554,1.3226,1.3389,2785144,pep
1978-05-24,1.3226,1.3226,1.298,1.3142,6418319,pep
1978-05-25,1.3142,1.3307,1.3062,1.3142,4770464,pep
1978-05-26,1.3142,1.3226,1.3062,1.3062,1286293,pep
1978-05-30,1.3062,1.3142,1.3062,1.3142,1312588,pep
1978-05-31,1.3142,1.347,1.3142,1.347,4693767,pep
1978-06-01,1.3389,1.3389,1.3226,1.3389,6289033,pep
1978-06-02,1.347,1.3635,1.347,1.3554,2550675,pep
1978-06-05,1.3635,1.4127,1.3635,1.4048,4910706,pep
1978-06-06,1.4127,1.4375,1.4127,1.4212,5857348,pep
1978-06-07,1.4212,1.4212,1.4048,1.4212,2434537,pep
1978-06-08,1.4212,1.4293,1.4048,1.4127,7432894,pep
1978-06-09,1.4127,1.4212,1.4048,1.4048,1902051,pep
1978-06-12,1.4048,1.4048,1.3802,1.3964,1365180,pep
1978-06-13,1.3881,1.3881,1.3554,1.3635,2745702,pep
1978-06-14,1.3635,1.3802,1.3389,1.3389,3179582,pep
1978-06-15,1.3389,1.3389,1.3142,1.3226,2083929,pep
1978-06-16,1.3226,1.3389,1.3142,1.3226,1402431,pep
1978-06-19,1.3226,1.3226,1.3062,1.3226,1384901,pep
1978-06-20,1.3226,1.3226,1.298,1.3062,1586502,pep
1978-06-21,1.3062,1.3142,1.298,1.3062,1571162,pep
1978-06-22,1.3062,1.3062,1.2897,1.298,1227131,pep
1978-06-23,1.298,1.3142,1.298,1.3142,791058,pep
1978-06-26,1.3142,1.3142,1.2897,1.298,1281913,pep
1978-06-27,1.298,1.3062,1.2897,1.2897,1976555,pep
1978-06-28,1.2897,1.298,1.2729,1.2897,2083929,pep
1978-06-29,1.2897,1.3062,1.2816,1.3062,2671196,pep
1978-06-30,1.3062,1.3062,1.2897,1.3062,1310396,pep
1978-07-03,1.298,1.298,1.2816,1.2816,3144517,pep
1978-07-05,1.2816,1.2897,1.2651,1.2651,4237976,pep
1978-07-06,1.2651,1.2651,1.2485,1.2569,1711407,pep
1978-07-07,1.2569,1.2729,1.2569,1.2569,3118219,pep
1978-07-10,1.2569,1.2569,1.2404,1.2569,3845733,pep
1978-07-11,1.2569,1.2729,1.2569,1.2651,4724442,pep
1978-07-12,1.2651,1.2897,1.2651,1.2897,2853074,pep
1978-07-13,1.2897,1.298,1.2729,1.2897,3915854,pep
1978-07-14,1.2897,1.3389,1.2897,1.3307,4064861,pep
1978-07-17,1.3389,1.347,1.3389,1.347,4078012,pep
1978-07-18,1.347,1.3554,1.3226,1.3226,1882328,pep
1978-07-19,1.3226,1.347,1.3226,1.347,4706914,pep
1978-07-20,1.347,1.3716,1.3389,1.3635,4577630,pep
1978-07-21,1.3554,1.3554,1.3142,1.3226,1693875,pep
1978-07-24,1.3226,1.3226,1.3062,1.3226,1674155,pep
1978-07-25,1.3226,1.3226,1.3062,1.3226,1823161,pep
1978-07-26,1.3307,1.3389,1.3307,1.3389,1722362,pep
1978-07-27,1.3389,1.347,1.3389,1.3389,2362224,pep
1978-07-28,1.3389,1.347,1.3226,1.3226,3611265,pep
1978-07-31,1.3307,1.3554,1.3307,1.3554,3267233,pep
1978-08-01,1.3554,1.3554,1.347,1.3554,3181770,pep
1978-08-02,1.3554,1.4048,1.3554,1.4048,5568097,pep
1978-08-03,1.4212,1.4701,1.4212,1.4701,6012934,pep
1978-08-04,1.4701,1.4701,1.454,1.4621,3431577,pep
1978-08-07,1.4621,1.4621,1.4293,1.4375,2116796,pep
1978-08-08,1.4375,1.4456,1.4212,1.4456,1875756,pep
1978-08-09,1.4456,1.4621,1.4375,1.454,3567440,pep
1978-08-10,1.454,1.454,1.4127,1.4127,2079544,pep
1978-08-11,1.4127,1.4127,1.3881,1.3964,922540,pep
1978-08-14,1.4048,1.4212,1.4048,1.4048,1796867,pep
1978-08-15,1.4048,1.4048,1.3881,1.4048,1533910,pep
1978-08-16,1.4048,1.4375,1.4048,1.4293,909389,pep
1978-08-17,1.4456,1.4869,1.4456,1.454,2633945,pep
1978-08-18,1.454,1.454,1.4375,1.4375,1612796,pep
1978-08-21,1.4375,1.4456,1.4127,1.4212,1345456,pep
1978-08-22,1.4212,1.4212,1.4048,1.4127,2005040,pep
